id,title,agency,category,amount,city,eligible_identity,min_age,max_age,income_limit,housing_status,family_status,description,apply_url,source_url,updated_at
child-neonatal-screen,新生兒篩檢,衛生福利部,育兒生育,0,全台,一般民眾,,,,,有新生兒,新生兒出生後接受21種先天代謝異常篩檢，政府全額補助,https://www.mohw.gov.tw/,https://www.mohw.gov.tw/,2026-05-09
child-birth-hsinchu-county,新竹縣生育獎勵,新竹縣政府,育兒生育,10000,新竹縣,設籍新竹縣,,,,,,設籍新竹縣生育者每胎1萬元,https://www.hchg.gov.tw/,https://www.hchg.gov.tw/,2026-05-09
child-birth-miaoli,苗栗縣生育津貼,苗栗縣政府,育兒生育,10000,苗栗縣,設籍苗栗縣,,,,,,設籍苗栗縣生育者每胎1萬元,https://www.miaoli.gov.tw/,https://www.miaoli.gov.tw/,2026-05-09
child-birth-changhua,彰化縣生育獎勵,彰化縣政府,育兒生育,12000,彰化縣,設籍彰化縣,,,,,,設籍彰化縣生育者每胎1.2萬元,https://www.chcg.gov.tw/,https://www.chcg.gov.tw/,2026-05-09
job-unemployment,失業給付,勞保局,就業,17928,全台,勞保被保險人,,,,,,非自願離職可領投保薪資60%，最長6個月，每月至就服站辦理再認定,https://www.bli.gov.tw/,https://www.bli.gov.tw/,2026-05-09
job-training-living,職業訓練生活津貼,勞動部,就業,13047,全台,一般民眾,,,,,,參加政府全日制職訓期間每月領基本工資60%，自願離職亦可申請,https://www.wda.gov.tw/,https://www.wda.gov.tw/,2026-05-09
job-early-reemploy,提早就業獎助,勞動部,就業,30000,全台,勞保被保險人,,,,,,失業給付請領期間提早就業，剩餘給付50%作為獎助金，最高3萬,https://www.wda.gov.tw/,https://www.wda.gov.tw/,2026-05-09
job-cross-region,跨域就業補助,勞動部,就業,30000,全台,一般民眾,,,,,,跨縣市就業距離超過30公里，可申請交通費及搬遷費補助,https://www.taiwanjobs.gov.tw/,https://www.taiwanjobs.gov.tw/,2026-05-09
job-women-return,婦女再就業計畫,勞動部,就業,180000,全台,女性,30,65,,,,因育兒離職後重返職場，免費職訓加就業媒合，成功就業可領獎助,https://www.wda.gov.tw/,https://www.wda.gov.tw/,2026-05-09
job-senior,中高齡就業促進,勞動部,就業,30000,全台,中高齡,45,,,,,45歲以上求職者就業補助，免費職訓及穩定就業獎助金,https://www.wda.gov.tw/,https://www.wda.gov.tw/,2026-05-09
job-temp,臨時工作津貼,勞動部,就業,28590,全台,弱勢失業者,,,,,,就業困難者參與政府或非營利機構臨時工作，每月領基本工資,https://www.wda.gov.tw/,https://www.wda.gov.tw/,2026-05-09
job-career-training,公費職業訓練,勞動部,就業,0,全台,一般民眾,,,,,,政府免費提供職訓（IT、設計、廚師等），市值2-8萬元,https://www.taiwanjobs.gov.tw/,https://www.taiwanjobs.gov.tw/,2026-05-09
job-workplace-learn,職場學習及再適應計畫,勞動部,就業,79200,全台,一般民眾,,,,,,"就服站媒合進入企業體驗3個月，每月領26,400元津貼",https://www.wda.gov.tw/,https://www.wda.gov.tw/,2026-05-09
job-youth-flagship,青年就業旗艦計畫,勞動部,就業,依薪資,全台,青年,18,29,,,,企業提供6個月帶薪訓練，政府補助雇主，青年取得正式工作,https://www.wda.gov.tw/,https://www.wda.gov.tw/,2026-05-09
job-digital-talent,數位人才培育補助,勞動部,就業,40000,全台,一般民眾,,,,,,政府補貼80%數位技能培訓費，含AI、雲端、資安等課程,https://www.wda.gov.tw/,https://www.wda.gov.tw/,2026-05-09
job-disability-employ,身障者就業補助,勞動部,就業,12000,全台,身心障礙者,,,,,,身障者就業獎助及職場適應支援，雇主聘用每人每月可領補助,https://www.wda.gov.tw/,https://www.wda.gov.tw/,2026-05-09
job-indigenous-employ,原住民就業補助,原住民族委員會,就業,18000,全台,原住民,,,,,,原住民族就業促進計畫，包含就業獎勵金及職場輔導,https://www.apc.gov.tw/,https://www.apc.gov.tw/,2026-05-09
job-mid-career-stable,中高齡穩定就業獎助,勞動部,就業,100000,全台,中高齡,45,,,,,再就業後穩定工作3年可領最高10萬元獎助，分3年撥付,https://www.wda.gov.tw/,https://www.wda.gov.tw/,2026-05-09
job-enterprise-hire,企業僱用特定對象補助,勞動部,就業,36000,全台,雇主,,,,,,企業聘用失業逾6個月、身障或45歲以上者，每人每月可領獎助金,https://www.wda.gov.tw/,https://www.wda.gov.tw/,2026-05-09
job-freelance-union,自由工作者加保職業工會,各職業工會,就業,0,全台,自由工作者,,,,,,接案族加入職業工會可加保勞保與健保，月保費約800元享職傷保障,https://www.bli.gov.tw/,https://www.bli.gov.tw/,2026-05-09
job-veteran-employ,退伍軍人就業補助,國防部,就業,0,全台,退伍軍人,,,,,,退伍軍人就業媒合、免費職訓及就業推薦函服務,https://www.mnd.gov.tw/,https://www.mnd.gov.tw/,2026-05-09
job-rural-youth,農村青年就業補助,農業部,就業,依薪資,全台,青年,20,45,,,,返鄉從事農業者可申請青農輔導及薪資補助,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
job-self-employ-fund,失業者創業微型貸款,勞動部,就業,1000000,全台,失業者,20,65,,,,失業者自行創業可申請100萬以下微型貸款，年利率1.5%,https://beboss.wda.gov.tw/,https://beboss.wda.gov.tw/,2026-05-09
job-career-counsel,免費就業諮詢服務,勞動部,就業,0,全台,一般民眾,,,,,,全台就業服務站提供免費求職媒合、履歷健診及職涯諮詢,https://www.taiwanjobs.gov.tw/,https://www.taiwanjobs.gov.tw/,2026-05-09
poor-living,低收入戶生活扶助,各縣市社會局,低收入弱勢,9829,全台,低收入戶,,,低收入戶,,,通過低收入戶資格審查，每人每月生活扶助，金額依縣市及類別不同,https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
poor-emergency,急難救助金,各縣市社會局,低收入弱勢,60000,全台,一般民眾,,,,,,突發緊急困境可申請，最高6萬元，審查快速約1週,https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
poor-medical,弱勢醫療補助,各縣市社會局,低收入弱勢,30000,全台,低收入戶,,,低收入或中低收入戶,,,低收入及中低收入者醫療費用自付額補助，住院門診均適用,https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
poor-food,食物銀行物資,社會福利機構,低收入弱勢,0,全台,弱勢族群,,,低收入或中低收入戶,,,定期領取食物及生活用品，各地由家扶、善牧等機構辦理,https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
poor-edu,弱勢就學補助,教育部,低收入弱勢,10000,全台,低收入戶,,,低收入或中低收入戶,,,低收入家庭學童學費補助，高中以上學費全免,https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
poor-utility,水電費補助,台電/台水,低收入弱勢,2400,全台,低收入戶,,,低收入戶,,,低收入戶水費電費優惠，部分縣市自動減免無需另外申請,https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
poor-funeral,喪葬補助,各縣市社會局,低收入弱勢,20000,全台,低收入戶,,,低收入戶,,,低收入戶家庭成員死亡可申請喪葬費補助，最高2萬元,https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
poor-health-insure,低收入戶健保費免繳,健保署,低收入弱勢,24000,全台,低收入戶,,,低收入戶,,,低收入戶全家健保費由政府全額負擔，4口家庭省約2.4萬/年,https://www.nhi.gov.tw/,https://www.nhi.gov.tw/,2026-05-09
poor-mid-living,中低收入戶生活補助,各縣市社會局,低收入弱勢,6000,全台,中低收入戶,,,中低收入戶,,,未達低收入戶但生活困難者，每月補助金額依縣市不同,https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
poor-cwid,兒童發展帳戶（CWID）,衛生福利部,低收入弱勢,15000,全台,低收入戶,,,低收入或中低收入戶,,有子女,"政府每月存1,250元，家長配對同額，每年最高3萬元",https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
elder-pension-basic,老年基本保證年金,勞保局,老年長照,4005,全台,國民年金被保險人,65,,,,,年滿65歲繳費年資滿一定年限，每月領基本年金,https://www.bli.gov.tw/,https://www.bli.gov.tw/,2026-05-09
elder-mid-low,中低收入老人生活津貼,各縣市社會局,老年長照,7550,全台,老年人,65,,中低收入戶,,,"65歲以上中低收入老人每月最高7,550元津貼",https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
elder-ltc,長照2.0居家服務,衛生福利部,老年長照,40000,全台,老年人,65,,,,,失能老人居家照護費用補助，依失能等級補助1-4萬/月，撥打1966申請,https://1966.gov.tw/,https://1966.gov.tw/,2026-05-09
elder-denture,老人假牙補助,各縣市衛生局,老年長照,7000,全台,老年人,65,,,,,"65歲以上老人裝置假牙補助，每顆最高7,000元，在健保特約牙科申辦",https://www.hpa.gov.tw/,https://www.hpa.gov.tw/,2026-05-09
elder-home-care,居家服務補助,衛生福利部,老年長照,190,全台,老年人,65,,,,,失能老人居家生活照顧，每小時最高190元，低收入戶免費,https://1966.gov.tw/,https://1966.gov.tw/,2026-05-09
elder-meal,送餐到府服務,各縣市社會局,老年長照,60,全台,老年人,65,,,,獨居或行動不便,行動不便老人申請送餐服務，每餐最低自付60元,https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
elder-respite,喘息服務補助,衛生福利部,老年長照,0,全台,一般民眾,,,,,有失能長者,照顧者申請喘息服務讓專業人員暫代照顧，減輕家屬負擔,https://1966.gov.tw/,https://1966.gov.tw/,2026-05-09
elder-tpass,敬老TPASS乘車回饋,交通部,老年長照,18000,全台,老年人,65,,,,,"持敬老卡搭大眾運輸自動回饋，每年最高省18,000元",https://www.motc.gov.tw/,https://www.motc.gov.tw/,2026-05-09
elder-ltc-deduction,長照特別扣除額,財政部,老年長照,9000,全台,一般民眾,,,,,有失能長者,"子女報稅時申報扶養失能長者，每人扣除額18萬，省稅9,000元以上",https://www.mof.gov.tw/,https://www.mof.gov.tw/,2026-05-09
elder-health-check,老人免費成人健檢,衛生福利部,老年長照,0,全台,老年人,65,,,,,65歲以上每年免費成人健檢，含血壓、血糖、血脂、肝腎功能,https://www.hpa.gov.tw/,https://www.hpa.gov.tw/,2026-05-09
elder-flu-vaccine,流感疫苗（老人公費）,衛生福利部,老年長照,0,全台,老年人,65,,,,,65歲以上每年秋冬公費流感疫苗，至各診所或衛生所接種,https://www.cdc.gov.tw/,https://www.cdc.gov.tw/,2026-05-09
elder-pneumonia-vaccine,肺炎鏈球菌疫苗（老人）,衛生福利部,老年長照,0,全台,老年人,65,,,,,65歲以上一生接種一次公費肺炎鏈球菌疫苗,https://www.cdc.gov.tw/,https://www.cdc.gov.tw/,2026-05-09
dis-living-light,身障生活補助（輕度）,各縣市社會局,身心障礙,3579,全台,身心障礙者,,,符合所得限制,,,"持輕度身障手冊、符合所得限制，每月3,579元生活補助",https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
dis-living-mid,身障生活補助（中度）,各縣市社會局,身心障礙,4881,全台,身心障礙者,,,符合所得限制,,,"持中度身障手冊、符合所得限制，每月4,881元生活補助",https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
dis-living-heavy,身障生活補助（重度）,各縣市社會局,身心障礙,6183,全台,身心障礙者,,,符合所得限制,,,"持重度身障手冊、符合所得限制，每月6,183元生活補助",https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
dis-living-extreme,身障生活補助（極重度）,各縣市社會局,身心障礙,7485,全台,身心障礙者,,,符合所得限制,,,"持極重度身障手冊、符合所得限制，每月7,485元生活補助",https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
dis-assist-device,輔具補助,衛生福利部,身心障礙,80000,全台,身心障礙者,,,,,,"醫師評估需求後，依項目補助輔具費用：輪椅最高24,700元、助聽器44,700元",https://repat.sfaa.gov.tw/,https://repat.sfaa.gov.tw/,2026-05-09
dis-transport,身障交通補助,各縣市社會局,身心障礙,2400,全台,身心障礙者,,,,,,"身障者搭乘大眾交通或復康巴士補助，每月最高2,400元",https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
dis-employment,身障者就業補助,勞動部,身心障礙,12000,全台,身心障礙者,,,,,,身障者就業獎助及職場適應支援，雇主聘用每人每月可領補助,https://www.wda.gov.tw/,https://www.wda.gov.tw/,2026-05-09
dis-vocational,身障職業訓練,勞動部,身心障礙,0,全台,身心障礙者,,,,,,"身障者參加職業訓練課程費用全免，訓練期間可領生活津貼13,047元/月",https://www.wda.gov.tw/,https://www.wda.gov.tw/,2026-05-09
dis-medical,身障醫療補助,各縣市社會局,身心障礙,12000,全台,身心障礙者,,,低收入或中低收入戶,,,"具低收或中低收入資格身障者，醫療費用自付額補助，每年最高12,000元",https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
dis-housing,身障住宅無障礙改善,各縣市社會局,身心障礙,100000,全台,身心障礙者,,,,,,身障者住宅增設無障礙設施補助，如扶手、斜坡、電梯，每戶最高10萬元,https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
dis-tax-deduct,身障特別扣除額,財政部,身心障礙,207000,全台,身心障礙者,,,,,,"申報綜所稅時每人扣除20.7萬元，稅率12%者省稅24,840元",https://www.mof.gov.tw/,https://www.mof.gov.tw/,2026-05-09
dis-health-insure,身障健保費補助,健保署,身心障礙,6000,全台,身心障礙者,,,符合所得限制,,,中低收入身障者健保費由政府全額或部分補助,https://www.nhi.gov.tw/,https://www.nhi.gov.tw/,2026-05-09
dis-vocational-rehab,職業重建服務,勞動部,身心障礙,0,全台,身心障礙者,,,,,,免費職業評量、職務再設計及就業陪伴服務，向職業重建中心申請,https://www.wda.gov.tw/,https://www.wda.gov.tw/,2026-05-09
dis-care-home,身障居家照顧服務,衛生福利部,身心障礙,190,全台,身心障礙者,,,,,,身障者居家生活照顧服務補助，每小時最高190元，低收入戶免費,https://1966.gov.tw/,https://1966.gov.tw/,2026-05-09
dis-care-day,身障日間照顧服務,衛生福利部,身心障礙,依評估,全台,身心障礙者,,,,,,無法自理生活的身障者日間照顧服務，依失能等級補助,https://1966.gov.tw/,https://1966.gov.tw/,2026-05-09
dis-parking,身障停車位優惠,交通部,身心障礙,6000,全台,身心障礙者,,,,,,"持手冊可申請身障停車識別證，享停車費優惠或免費，每年省3,000-6,000元",https://www.motc.gov.tw/,https://www.motc.gov.tw/,2026-05-09
dis-income-support,身障者就業所得補助,勞動部,身心障礙,5000,全台,身心障礙者,,,,,,低薪身障就業者薪資差額補助，鼓勵就業,https://www.wda.gov.tw/,https://www.wda.gov.tw/,2026-05-09
dis-sport,身障者運動及休閒補助,教育部,身心障礙,0,全台,身心障礙者,,,,,,身障者參加體育活動及競技訓練補助,https://www.sa.gov.tw/,https://www.sa.gov.tw/,2026-05-09
dis-caregiver,身障照顧者喘息服務,衛生福利部,身心障礙,0,全台,身心障礙者家屬,,,,,,家庭照顧者申請喘息服務，每年最高14天免費居家照顧,https://1966.gov.tw/,https://1966.gov.tw/,2026-05-09
dis-assistive-eval,輔具評估服務,衛生福利部,身心障礙,0,全台,身心障礙者,,,,,,免費輔具需求評估，協助申請適合輔具，由各縣市輔具資源中心辦理,https://repat.sfaa.gov.tw/,https://repat.sfaa.gov.tw/,2026-05-09
dis-newborn-screen,新生兒聽力篩檢,衛生福利部,身心障礙,0,全台,一般民眾,,,,,有新生兒,新生兒出院前免費聽力篩檢，早期發現聽障盡早介入,https://www.mohw.gov.tw/,https://www.mohw.gov.tw/,2026-05-09
dis-early-interv,早期療育服務,衛生福利部,身心障礙,0,全台,一般民眾,,6,,,有發展遲緩子女,0-6歲發展遲緩兒童享免費早期療育評估及聯合評估,https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
dis-mental-health,精神疾病社區復健,衛生福利部,身心障礙,0,全台,精神障礙者,,,,,,精神疾病者可申請日間型社區復健中心服務，費用由健保或政府支付,https://www.mohw.gov.tw/,https://www.mohw.gov.tw/,2026-05-09
dis-study,身障學生學費補助,教育部,身心障礙,30000,全台,身心障礙者,,22,,,,就讀大專院校身障學生學費補助，減免學雜費30-100%,https://www.moe.gov.tw/,https://www.moe.gov.tw/,2026-05-09
dis-bus-free,身障者大眾運輸優惠,交通部,身心障礙,0,全台,重度身心障礙者,,,,,,重度以上身障者搭乘公車免費，中度以上搭乘台鐵半價,https://www.motc.gov.tw/,https://www.motc.gov.tw/,2026-05-09
agri-rice-pay,稻作直接給付,農業部,農業,21000,全台,農民,,,,,,"申報種稻農民按公頃補貼，每期10,500元，每年2期，建立穩定農業收入",https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-fallow,農地休耕補助,農業部,農業,45000,全台,農民,,,,,,"農地休耕期間補貼，每年每公頃最高45,000元",https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-insurance,農保保費補助70%,農業部,農業,2184,全台,農民,,,,,,加入農保自付28元/月，政府補貼70%保費，享醫療傷病保障,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-retirement,農民退休儲金（配對）,農業部,農業,120000,全台,農民,,,,,,"農民每月自存，政府等額配對最高10,000元/月，為退休累積財源",https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-old-age,農保老年給付,農業部,農業,依年資,全台,農民,,,,,,"農保投保年資×7,000元一次給付，60歲可申請",https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-machinery,農機具補助,農業部,農業,200000,全台,農民,,,,,,購置農機設備補助30-50%費用，如曳引機、收割機等，每件最高20萬,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-greenhouse,溫網室農業設施補助,農業部,農業,500000,全台,農民,,,,,,興建溫室、網室等設施補助30-50%，最高50萬元,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-organic,有機農業轉型補助,農業部,農業,120000,全台,農民,,,,,,慣行農業轉型有機農業，3年輔導期每公頃補助4萬元/年,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-disaster,農業天然災害救助,農業部,農業,依損失,全台,農民,,,,,,颱風、洪水等天然災害導致農損，可申請每公頃最高10萬元救助,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-crop-insure,農業保險保費補助,農業部,農業,依作物,全台,農民,,,,,,政府補助農作物保險保費50%，保障天然災害收入損失,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-young-farmer,青年農民輔導計畫,農業部,農業,180000,全台,青年農民,20,45,,,,返鄉青農可獲3年輔導，每年補助6萬元，並提供農地媒合及技術指導,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-smart,智慧農業科技補助,農業部,農業,300000,全台,農民,,,,,,導入IoT感測、自動灌溉等智慧農業技術，補助最高30萬元,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-rural-renewal,農村再生補助,農業部,農業,依計畫,全台,農村社區,,,,,,農村社區整體建設補助，改善生活環境及農業發展,https://www.ardss.gov.tw/,https://www.ardss.gov.tw/,2026-05-09
agri-water,農業用水補助,農業部,農業,依用量,全台,農民,,,,,,農業灌溉水費補助，減輕農民用水成本,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-marketing,農產品行銷補助,農業部,農業,100000,全台,農民,,,,,,農產品品牌建立及行銷推廣補助，最高10萬元,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-processing,農產加工補助,農業部,農業,300000,全台,農民,,,,,,設置農產加工設備補助50%費用，發展六級產業,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-fishery,漁業補助（休漁補貼）,農業部漁業署,農業,依噸位,全台,漁民,,,,,,實施休漁期間漁船漁民生活補助，按船隻噸位計算,https://www.fa.gov.tw/,https://www.fa.gov.tw/,2026-05-09
agri-fish-insure,漁業保險補助,農業部漁業署,農業,依費率,全台,漁民,,,,,,漁船及漁民意外保險保費補助50%,https://www.fa.gov.tw/,https://www.fa.gov.tw/,2026-05-09
agri-fish-disaster,漁業天然災害救助,農業部漁業署,農業,依損失,全台,漁民,,,,,,颱風等天然災害造成漁業損失救助,https://www.fa.gov.tw/,https://www.fa.gov.tw/,2026-05-09
agri-aqua,養殖漁業設施補助,農業部漁業署,農業,500000,全台,養殖漁民,,,,,,養殖設施（魚池、循環水系統）建設補助30-50%，最高50萬,https://www.fa.gov.tw/,https://www.fa.gov.tw/,2026-05-09
agri-vet,畜牧業補助,農業部畜產試驗所,農業,依項目,全台,畜牧業者,,,,,,畜舍改善、廢水處理、設備更新等補助30-50%,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-pork-price,毛豬價格穩定基金,農業部,農業,依差額,全台,養豬業者,,,,,,毛豬市場價格低於保證價格時，補貼業者差額損失,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-forest,造林補助,農業部林業及自然保育署,農業,21000,全台,土地所有人,,,,,,"造林每年每公頃補助21,000元，連補20年，含碳匯效益",https://www.forest.gov.tw/,https://www.forest.gov.tw/,2026-05-09
agri-carbon,農業碳匯補助,農業部,農業,依碳量,全台,農民,,,,,,農業碳匯申請補助，種植友善環境作物可獲額外獎勵,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-cooperative,農業合作社補助,農業部,農業,依計畫,全台,農業合作組織,,,,,,農業合作社成立及運作補助，促進農業規模化,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-fertilizer,肥料補助,農業部,農業,依用量,全台,農民,,,,,,推廣有機肥料使用，部分費用由政府補助,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-solar-farm,農地太陽能發電補助,農業部/經濟部,農業,依規模,全台,農民,,,,,,農業設施屋頂設置太陽能，農電共生補助,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-loan,農業貸款利息補貼,農業部,農業,依貸款,全台,農民,,,,,,農民購地、農機、設施貸款利息補貼，降低融資成本,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-land-bank,農地銀行服務,農業部,農業,0,全台,農民,,,,,,媒合農地出租承租，協助青農取得農地，免費服務,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-flower,花卉產業補助,農業部,農業,依計畫,全台,花卉農民,,,,,,花卉品種改良、栽培技術、外銷推廣等補助,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-tea,茶業發展補助,農業部,農業,依計畫,全台,茶農,,,,,,茶葉製程改良、品牌建立及外銷推廣補助,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-fruit,果樹更新補助,農業部,農業,50000,全台,農民,,,,,,老舊果樹更新、品種改良補助，每公頃最高5萬,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-seed,種苗補助,農業部,農業,依計畫,全台,農民,,,,,,優良種苗供應及補助，推廣台灣優良品種,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-pesticide,農藥減量補助,農業部,農業,依計畫,全台,農民,,,,,,推動減少農藥使用，採用友善農業者獲補助獎勵,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-training,農業技術訓練,農業部,農業,0,全台,農民,,,,,,免費農業技術訓練課程，含有機農業、智慧農業等,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-health-check,農民健康檢查,衛生福利部,農業,0,全台,農民,,,,,,農保被保險人可申請每2年一次免費健康檢查,https://www.hpa.gov.tw/,https://www.hpa.gov.tw/,2026-05-09
agri-disability-farm,農民職業災害補助,農業部,農業,依傷情,全台,農民,,,,,,農作業發生職業災害可申請農保職業傷病補助,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-drought,旱災救助補助,農業部,農業,依損失,全台,農民,,,,,,乾旱導致農損，提供抽水費補助及作物損失救助,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-export,農產品外銷補助,農業部,農業,100000,全台,農民,,,,,,農產品參加國際展覽及外銷推廣費用補助,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-cold-chain,農產品冷鏈補助,農業部,農業,500000,全台,農業業者,,,,,,建置農產品冷鏈物流設施補助50%，保障農產品品質,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-traceability,農產品追溯補助,農業部,農業,依計畫,全台,農民,,,,,,建立農產品生產履歷及追溯系統，補助系統建置費用,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-rural-tourism,農村旅遊補助,農業部,農業,依計畫,全台,農場業者,,,,,,休閒農場認證及農村旅遊推廣活動補助,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-mushroom,菇類栽培補助,農業部,農業,依計畫,全台,農民,,,,,,食用菇類栽培設備及技術輔導補助,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-bamboo,竹業發展補助,農業部林業署,農業,依計畫,全台,竹農,,,,,,竹材採收利用及加工設備補助,https://www.forest.gov.tw/,https://www.forest.gov.tw/,2026-05-09
agri-bee,養蜂補助,農業部,農業,依計畫,全台,養蜂業者,,,,,,蜂箱、蜂種及設備補助，推廣台灣養蜂產業,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-drone,農業無人機補助,農業部,農業,200000,全台,農民,,,,,,購置農業無人機補助最高20萬，提升噴藥及管理效率,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-salt,鹽田農業補助,農業部漁業署,農業,依計畫,全台,鹽田業者,,,,,,傳統鹽田保存及鹽業文化推廣補助,https://www.fa.gov.tw/,https://www.fa.gov.tw/,2026-05-09
agri-herb,藥用植物栽培補助,農業部,農業,依計畫,全台,農民,,,,,,藥用植物（薑黃、黃耆等）栽培及加工補助,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-compost,堆肥補助,農業部,農業,依計畫,全台,農民,,,,,,推廣農業廢棄物堆肥化補助，減少環境負擔,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
agri-income-protect,農業所得保險,農業部,農業,依費率,全台,農民,,,,,,農作物收入保險，價格下跌時補貼差額，穩定農民收入,https://www.coa.gov.tw/,https://www.coa.gov.tw/,2026-05-09
health-adult-check,成人預防保健（40歲以上）,衛生福利部,醫療健康,0,全台,一般民眾,40,,,,,40-64歲每3年一次、65歲以上每年一次免費成人健康檢查,https://www.hpa.gov.tw/,https://www.hpa.gov.tw/,2026-05-09
health-cervix-screen,子宮頸癌篩檢,衛生福利部,醫療健康,0,全台,女性,30,,,,,30歲以上女性每年一次免費子宮頸抹片篩檢,https://www.hpa.gov.tw/,https://www.hpa.gov.tw/,2026-05-09
health-breast-screen,乳癌篩檢,衛生福利部,醫療健康,0,全台,女性,45,,,,,45-69歲女性每2年一次免費乳房X光攝影篩檢,https://www.hpa.gov.tw/,https://www.hpa.gov.tw/,2026-05-09
health-colon-screen,大腸癌篩檢,衛生福利部,醫療健康,0,全台,一般民眾,50,74,,,,50-74歲每2年一次免費糞便潛血篩檢,https://www.hpa.gov.tw/,https://www.hpa.gov.tw/,2026-05-09
health-oral-screen,口腔癌篩檢,衛生福利部,醫療健康,0,全台,有吸菸或嚼檳榔習慣者,30,,,,,30歲以上有吸菸或嚼檳榔習慣者每2年一次免費口腔篩檢,https://www.hpa.gov.tw/,https://www.hpa.gov.tw/,2026-05-09
health-flu-free,流感疫苗（公費）,衛生福利部,醫療健康,0,全台,特定對象,,,,,,65歲以上、孕婦、6歲以下幼兒等公費流感疫苗，每年秋冬接種,https://www.cdc.gov.tw/,https://www.cdc.gov.tw/,2026-05-09
